도로명주소,구,동,업체수(개),소재지,연번,인구수,기초단체명,title,주요품목,address,면적(M2),geoIdn,resultType,y,x,상점가명
대구광역시 중구 교동길 35-4,중구,교동,659,중구 교동길 35-4,1,"78,812",중구,대구패션주얼리특구,주얼리,대구광역시 중구 교동길 35-4,"6,956",2,SUCC,35.8735318314,128.596689293,대구패션주얼리특구
대구광역시 중구 태평로 177-5,중구,태평로1가,56,중구 태평로 177-5,3,"78,812",중구,태평1가상점가,도소매업,대구광역시 중구 태평로 177-5,"14,100",4,SUCC,35.8749415138,128.5988345755,태평1가상점가
대구광역시 중구 큰장로28길 42-10,중구,대신동,180,중구 큰장로28길 42-10,4,"78,812",중구,서문시장 아진상가 상점가,도소매업,대구광역시 중구 큰장로28길 42-10,"2,600",5,SUCC,35.8694344999,128.5816252918,서문시장 아진상가 상점가
대구광역시 중구 동성로2길 24,중구,삼덕동1가,247,중구 동성로2길 24,5,"78,812",중구,동성로상점가,도소매업,대구광역시 중구 동성로2길 24,"22,017",6,SUCC,35.8670058122,128.5965494831,동성로상점가
대구광역시 달서구 달구벌대로 1726-16,달서구,두류동,131,달구벌대로 1726-16(두류3동),6,"606,547",달서구,신내당시장 상점가,도소매업,대구광역시 달서구 달구벌대로 1726-16,"3,067",7,SUCC,35.8557982219,128.554574981,신내당시장 상점가
대구광역시 달서구 달서대로 431,달서구,호림동,123,달서대로 431(신당동),7,"606,547",달서구,성서아울렛타운,의류,대구광역시 달서구 달서대로 431,"15,698",8,SUCC,35.8377833024,128.4913712177,성서아울렛타운
,,,,,,,,,,,,,,,,
